OffspCollection	Kid	Pa	Ma	PopName	SpawnYear	FDR	Pvalue	LOD	P.Pr.C_Se_Se	P.Pr.Max	MaxP.Pr.Relat	TotPaNonExc	TotMaNonExc	TotUnkNonExc	TotPairsNonExc	KidMiss	PaMiss	MaMiss	MI.Kid.Pa	MI.Kid.Ma	MI.Trio	MendIncLoci
Fishery2011	T073111	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073112	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073113	---	---	---	---	---	---	---	---	---	---	0	1	0	0	0	---	---	---	---	---	---
Fishery2011	T073114	---	---	---	---	---	---	---	---	---	---	30	30	0	0	0	---	---	---	---	---	---
Fishery2011	T073115	---	---	---	---	---	---	---	---	---	---	16	21	0	0	1	---	---	---	---	---	---
Fishery2011	T073116	---	---	---	---	---	---	---	---	---	---	0	0	0	0	2	---	---	---	---	---	---
Fishery2011	T073119	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073120	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073121	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073122	T069503	T069504	FRHfa	2008	0.000000	0.000000	21.755400	0.998011	0.998011	C_Se_Se	24	37	0	1	0	0	0	0	0	0	---
Fishery2011	T073123	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073124	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073125	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073126	---	---	---	---	---	---	---	---	---	---	388	486	0	0	0	---	---	---	---	---	---
Fishery2011	T073128	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073129	---	---	---	---	---	---	---	---	---	---	0	2	0	0	0	---	---	---	---	---	---
Fishery2011	T073130	---	---	---	---	---	---	---	---	---	---	3	1	0	0	1	---	---	---	---	---	---
Fishery2011	T073131	---	---	---	---	---	---	---	---	---	---	213	229	0	0	0	---	---	---	---	---	---
Fishery2011	T073133	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073134	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073135	---	---	---	---	---	---	---	---	---	---	6	2	0	0	0	---	---	---	---	---	---
Fishery2011	T073136	---	---	---	---	---	---	---	---	---	---	38	52	0	0	0	---	---	---	---	---	---
Fishery2011	T073137	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073138	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073139	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073140	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073143	---	---	---	---	---	---	---	---	---	---	2	2	0	0	1	---	---	---	---	---	---
Fishery2011	T073144	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073145	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073146	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073147	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073149	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073150	---	---	---	---	---	---	---	---	---	---	0	1	0	0	9	---	---	---	---	---	---
Fishery2011	T073152	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073154	---	---	---	---	---	---	---	---	---	---	71	77	0	0	1	---	---	---	---	---	---
Fishery2011	T073155	---	---	---	---	---	---	---	---	---	---	36	45	0	0	0	---	---	---	---	---	---
Fishery2011	T073156	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073157	---	---	---	---	---	---	---	---	---	---	12	5	0	0	0	---	---	---	---	---	---
Fishery2011	T073158	---	---	---	---	---	---	---	---	---	---	5	4	0	0	0	---	---	---	---	---	---
Fishery2011	T073160	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
Fishery2011	T073161	---	---	---	---	---	---	---	---	---	---	5	1	0	0	1	---	---	---	---	---	---
Fishery2011	T073162	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073163	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073164	---	---	---	---	---	---	---	---	---	---	0	1	0	0	1	---	---	---	---	---	---
Fishery2011	T073165	---	---	---	---	---	---	---	---	---	---	0	0	0	0	2	---	---	---	---	---	---
Fishery2011	T073166	---	---	---	---	---	---	---	---	---	---	0	1	0	0	0	---	---	---	---	---	---
Fishery2011	T073167	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073168	---	---	---	---	---	---	---	---	---	---	23	24	0	0	0	---	---	---	---	---	---
Fishery2011	T073169	---	---	---	---	---	---	---	---	---	---	1	1	0	0	0	---	---	---	---	---	---
Fishery2011	T073170	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	---	---	---	---	---	---
Fishery2011	T073171	---	---	---	---	---	---	---	---	---	---	0	0	0	0	1	---	---	---	---	---	---
